source_path,output_path,status,confidence,det_left,det_top,det_right,det_bottom,crop_left,crop_top,crop_right,crop_bottom
penguins_data\Bud\Bud1.jpg,belly\Bud\Bud1.jpg,yolo(conf=0.31),0.313,251,596,810,1168,223,567,838,1197
penguins_data\Bud\Bud10.jpg,belly\Bud\Bud10.jpg,yolo(conf=0.75),0.748,83,288,366,699,69,267,380,720
penguins_data\Bud\Bud11.jpg,belly\Bud\Bud11.jpg,yolo(conf=0.74),0.736,112,433,452,993,95,405,469,1021
penguins_data\Bud\Bud12.jpg,belly\Bud\Bud12.jpg,yolo(conf=0.73),0.731,333,492,759,1092,312,462,780,1122
penguins_data\Bud\Bud13.jpg,belly\Bud\Bud13.jpg,yolo(conf=0.69),0.691,443,612,842,1154,423,585,862,1181
penguins_data\Bud\Bud14.jpg,belly\Bud\Bud14.jpg,yolo(conf=0.81),0.809,380,587,776,1234,360,555,796,1266
penguins_data\Bud\Bud15.jpg,belly\Bud\Bud15.jpg,yolo(conf=0.82),0.817,438,514,872,1190,416,480,894,1224
penguins_data\Bud\Bud16.jpg,belly\Bud\Bud16.jpg,yolo(conf=0.65),0.648,323,575,742,1143,302,547,763,1171
penguins_data\Bud\Bud2.jpg,belly\Bud\Bud2.jpg,yolo(conf=0.81),0.810,88,332,494,730,68,312,514,750
penguins_data\Bud\Bud3.jpg,belly\Bud\Bud3.jpg,yolo(conf=0.79),0.788,194,598,702,1243,169,566,727,1275
penguins_data\Bud\Bud4.jpg,belly\Bud\Bud4.jpg,yolo(conf=0.60),0.602,319,724,838,1362,293,692,864,1394
penguins_data\Bud\Bud5.jpg,belly\Bud\Bud5.jpg,yolo(conf=0.77),0.772,464,733,1007,1497,437,695,1034,1535
penguins_data\Bud\Bud6.jpg,belly\Bud\Bud6.jpg,yolo(conf=0.81),0.814,292,761,852,1513,264,723,880,1551
penguins_data\Bud\Bud7.jpg,belly\Bud\Bud7.jpg,yolo(conf=0.80),0.798,363,674,804,1386,341,638,826,1422
penguins_data\Bud\Bud8.jpg,belly\Bud\Bud8.jpg,yolo(conf=0.71),0.708,336,622,849,1345,310,586,875,1381
penguins_data\Bud\Bud9.jpg,belly\Bud\Bud9.jpg,yolo(conf=0.83),0.832,63,263,303,689,51,242,315,710
penguins_data\Bud\DSC_2766.jpeg,belly\Bud\DSC_2766.jpeg,yolo(conf=0.72),0.717,534,644,1254,2063,498,573,1290,2134
penguins_data\Bud\DSC_2767.jpeg,belly\Bud\DSC_2767.jpeg,yolo(conf=0.78),0.776,548,652,1285,2104,511,579,1322,2177
penguins_data\Bud\IMGP0644.JPG,belly\Bud\IMGP0644.JPG,yolo(conf=0.56),0.564,48,234,345,687,33,211,360,710
penguins_data\Bud\IMGP0645.JPG,belly\Bud\IMGP0645.JPG,yolo(conf=0.69),0.687,81,293,447,856,63,265,465,884
penguins_data\Bud\IMGP0646.JPG,belly\Bud\IMGP0646.JPG,yolo(conf=0.26),0.260,64,422,673,1297,34,378,674,1341
penguins_data\Bud\IMGP0647.JPG,belly\Bud\IMGP0647.JPG,no_detection_fallback,0.000,,,,,79,342,718,1094
penguins_data\Bud\IMGP0648.JPG,belly\Bud\IMGP0648.JPG,yolo(conf=0.33),0.331,12,139,767,1086,0,92,805,1133
penguins_data\Bud\IMGP0649.JPG,belly\Bud\IMGP0649.JPG,yolo(conf=0.52),0.520,211,138,744,1064,184,92,771,1110
penguins_data\Bud\IMGP0650.JPG,belly\Bud\IMGP0650.JPG,yolo(conf=0.76),0.765,71,439,670,1153,41,403,700,1189
penguins_data\Bud\IMGP0651.JPG,belly\Bud\IMGP0651.JPG,yolo(conf=0.36),0.365,68,383,829,1118,30,346,867,1155
penguins_data\Bud\IMGP0652.JPG,belly\Bud\IMGP0652.JPG,yolo(conf=0.48),0.479,251,478,1009,1220,213,441,1047,1257
penguins_data\Bud\IMGP0653.JPG,belly\Bud\IMGP0653.JPG,no_detection_fallback,0.000,,,,,133,429,1199,1374
penguins_data\Bud\IMGP0654.JPG,belly\Bud\IMGP0654.JPG,no_detection_fallback,0.000,,,,,116,476,1050,1523
penguins_data\Calypso\Calypso1.jpg,belly\Calypso\Calypso1.jpg,yolo(conf=0.65),0.654,162,325,445,754,148,304,459,775
penguins_data\Calypso\Calypso2.jpg,belly\Calypso\Calypso2.jpg,yolo(conf=0.79),0.793,127,431,655,1227,101,391,681,1267
penguins_data\Calypso\Calypso3.jpg,belly\Calypso\Calypso3.jpg,yolo(conf=0.84),0.844,264,603,775,1423,238,562,801,1464
penguins_data\Calypso\Calypso4.jpg,belly\Calypso\Calypso4.jpg,yolo(conf=0.86),0.861,237,505,803,1347,209,463,831,1389
penguins_data\Calypso\Calypso5.jpg,belly\Calypso\Calypso5.jpg,yolo(conf=0.80),0.800,274,665,675,1224,254,637,695,1252
penguins_data\Calypso\Calypso6.jpg,belly\Calypso\Calypso6.jpg,yolo(conf=0.67),0.674,236,366,520,833,222,343,534,856
penguins_data\Calypso\Calypso7.jpg,belly\Calypso\Calypso7.jpg,yolo(conf=0.52),0.522,205,310,569,885,187,281,587,914
penguins_data\Calypso\IMG_0783_box4.jpg,belly\Calypso\IMG_0783_box4.jpg,yolo(conf=0.69),0.688,43,175,219,570,34,155,228,590
penguins_data\Calypso\IMG_0784_box2.jpg,belly\Calypso\IMG_0784_box2.jpg,yolo(conf=0.62),0.619,19,173,238,568,8,153,249,588
penguins_data\Calypso\IMG_0785_box1.jpg,belly\Calypso\IMG_0785_box1.jpg,yolo(conf=0.70),0.704,17,151,217,526,7,132,227,545
penguins_data\Calypso\IMG_0800_box1.jpg,belly\Calypso\IMG_0800_box1.jpg,yolo(conf=0.61),0.606,48,209,322,646,34,187,336,668
penguins_data\Calypso\IMG_0820_box5.jpg,belly\Calypso\IMG_0820_box5.jpg,yolo(conf=0.63),0.633,77,127,275,496,67,109,285,514
penguins_data\Calypso\IMG_1543_box2.jpg,belly\Calypso\IMG_1543_box2.jpg,yolo(conf=0.71),0.709,117,167,550,946,95,128,572,985
penguins_data\Calypso\IMG_1556_box3.jpg,belly\Calypso\IMG_1556_box3.jpg,yolo(conf=0.59),0.589,117,0,508,651,97,0,528,684
penguins_data\Calypso\IMG_1558_box3.jpg,belly\Calypso\IMG_1558_box3.jpg,yolo(conf=0.58),0.580,128,0,491,658,110,0,509,691
penguins_data\Calypso\IMG_1560_box2.jpg,belly\Calypso\IMG_1560_box2.jpg,yolo(conf=0.51),0.506,155,4,544,671,136,0,563,704
penguins_data\Calypso\IMG_1561_box3.jpg,belly\Calypso\IMG_1561_box3.jpg,yolo(conf=0.57),0.571,111,18,480,691,93,0,498,725
penguins_data\Calypso\IMG_1563_box6.jpg,belly\Calypso\IMG_1563_box6.jpg,yolo(conf=0.47),0.473,121,5,597,674,97,0,600,707
penguins_data\Calypso\IMG_1564_box5.jpg,belly\Calypso\IMG_1564_box5.jpg,yolo(conf=0.48),0.483,115,90,530,657,94,62,551,685
penguins_data\Calypso\IMG_2109_box5.jpg,belly\Calypso\IMG_2109_box5.jpg,yolo(conf=0.51),0.511,91,84,464,663,72,55,483,692
penguins_data\Calypso\IMG_2260_box3.jpg,belly\Calypso\IMG_2260_box3.jpg,yolo(conf=0.58),0.577,147,229,390,800,135,200,402,829
penguins_data\Calypso\IMG_2297_box2.jpg,belly\Calypso\IMG_2297_box2.jpg,yolo(conf=0.72),0.720,104,262,377,847,90,233,391,876
penguins_data\Calypso\IMG_2393_box4.jpg,belly\Calypso\IMG_2393_box4.jpg,yolo(conf=0.81),0.813,94,263,374,864,80,233,388,894
penguins_data\Chompy\Chompy1.jpg,belly\Chompy\Chompy1.jpg,yolo(conf=0.58),0.579,267,400,699,1082,245,366,721,1116
penguins_data\Chompy\Chompy10.jpg,belly\Chompy\Chompy10.jpg,no_detection_fallback,0.000,,,,,44,177,396,568
penguins_data\Chompy\Chompy11.jpg,belly\Chompy\Chompy11.jpg,yolo(conf=0.68),0.680,167,267,420,716,154,245,433,738
penguins_data\Chompy\Chompy12.jpg,belly\Chompy\Chompy12.jpg,no_detection_fallback,0.000,,,,,86,315,774,1008
penguins_data\Chompy\Chompy2.jpg,belly\Chompy\Chompy2.jpg,yolo(conf=0.64),0.636,237,517,702,1094,214,488,725,1123
penguins_data\Chompy\Chompy3.jpg,belly\Chompy\Chompy3.jpg,yolo(conf=0.77),0.772,95,446,774,1636,61,386,774,1696
penguins_data\Chompy\Chompy4.jpg,belly\Chompy\Chompy4.jpg,yolo(conf=0.83),0.830,428,587,837,1233,408,555,857,1265
penguins_data\Chompy\Chompy5.jpg,belly\Chompy\Chompy5.jpg,yolo(conf=0.68),0.678,417,583,800,1342,398,545,819,1380
penguins_data\Chompy\Chompy6.jpg,belly\Chompy\Chompy6.jpg,yolo(conf=0.84),0.838,382,374,830,1055,360,340,852,1089
penguins_data\Chompy\Chompy7.jpg,belly\Chompy\Chompy7.jpg,no_detection_fallback,0.000,,,,,107,428,966,1371
penguins_data\Chompy\Chompy8.jpg,belly\Chompy\Chompy8.jpg,no_detection_fallback,0.000,,,,,48,169,432,540
penguins_data\Chompy\Chompy9.jpg,belly\Chompy\Chompy9.jpg,yolo(conf=0.67),0.672,156,267,388,716,144,245,388,738
penguins_data\Chompy\DSC_2434.jpeg,belly\Chompy\DSC_2434.jpeg,no_detection_fallback,0.000,,,,,73,292,657,934
penguins_data\Chompy\DSC_2435.jpeg,belly\Chompy\DSC_2435.jpeg,no_detection_fallback,0.000,,,,,60,247,546,792
penguins_data\Chompy\IMG_0822_box5.jpg,belly\Chompy\IMG_0822_box5.jpg,yolo(conf=0.57),0.565,74,160,354,626,60,137,368,649
penguins_data\Chompy\IMG_2527_box1.jpg,belly\Chompy\IMG_2527_box1.jpg,yolo(conf=0.56),0.557,68,166,267,561,58,146,277,581
penguins_data\Chompy\IMG_2529_box2.jpg,belly\Chompy\IMG_2529_box2.jpg,yolo(conf=0.43),0.431,84,174,251,568,76,154,259,588
penguins_data\Chompy\IMGP0664.JPG,belly\Chompy\IMGP0664.JPG,yolo(conf=0.75),0.752,76,290,534,993,53,255,557,1028
penguins_data\Chompy\IMGP0665.JPG,belly\Chompy\IMGP0665.JPG,yolo(conf=0.86),0.861,183,361,721,1075,156,325,748,1111
penguins_data\Chompy\IMGP0666.JPG,belly\Chompy\IMGP0666.JPG,yolo(conf=0.82),0.817,152,406,799,1144,120,369,831,1181
penguins_data\Chompy\IMGP0667.JPG,belly\Chompy\IMGP0667.JPG,yolo(conf=0.49),0.487,200,517,914,1468,164,469,950,1516
penguins_data\Chompy\IMGP0668.JPG,belly\Chompy\IMGP0668.JPG,yolo(conf=0.84),0.839,303,434,866,1002,275,406,894,1030
penguins_data\Chompy\IMGP0669.JPG,belly\Chompy\IMGP0669.JPG,yolo(conf=0.35),0.349,298,632,1271,1813,249,573,1320,1872
penguins_data\Chompy\IMGP0705.JPG,belly\Chompy\IMGP0705.JPG,yolo(conf=0.33),0.330,10,153,256,534,0,134,268,553
penguins_data\Chompy\IMGP0706.JPG,belly\Chompy\IMGP0706.JPG,yolo(conf=0.60),0.605,77,174,347,599,63,153,361,620
penguins_data\Chompy\IMGP0707.JPG,belly\Chompy\IMGP0707.JPG,yolo(conf=0.73),0.734,147,233,482,667,130,211,499,689
penguins_data\Chompy\IMGP0708.JPG,belly\Chompy\IMGP0708.JPG,yolo(conf=0.45),0.450,80,246,510,662,58,225,532,683
penguins_data\Chompy\IMGP0709.JPG,belly\Chompy\IMGP0709.JPG,no_detection_fallback,0.000,,,,,101,309,914,990
penguins_data\Coco\Coco1.jpg,belly\Coco\Coco1.jpg,yolo(conf=0.60),0.598,373,704,789,1160,352,681,810,1183
penguins_data\Coco\Coco10.jpg,belly\Coco\Coco10.jpg,yolo(conf=0.85),0.854,427,630,940,1301,401,596,966,1335
penguins_data\Coco\Coco11.jpg,belly\Coco\Coco11.jpg,no_detection_fallback,0.000,,,,,74,214,674,684
penguins_data\Coco\Coco12.jpg,belly\Coco\Coco12.jpg,yolo(conf=0.78),0.778,238,260,598,573,220,244,616,589
penguins_data\Coco\Coco13.jpg,belly\Coco\Coco13.jpg,yolo(conf=0.55),0.553,230,250,696,758,207,225,719,783
penguins_data\Coco\Coco14.jpg,belly\Coco\Coco14.jpg,yolo(conf=0.65),0.651,290,387,837,713,263,371,864,729
penguins_data\Coco\Coco15.jpg,belly\Coco\Coco15.jpg,yolo(conf=0.39),0.393,186,499,615,934,165,477,636,956
penguins_data\Coco\Coco2.jpg,belly\Coco\Coco2.jpg,yolo(conf=0.72),0.724,507,488,897,1011,487,462,917,1037
penguins_data\Coco\Coco3.jpg,belly\Coco\Coco3.jpg,yolo(conf=0.80),0.799,464,429,860,1000,444,400,880,1029
penguins_data\Coco\Coco4.jpg,belly\Coco\Coco4.jpg,yolo(conf=0.79),0.790,462,446,863,1030,442,417,883,1059
penguins_data\Coco\Coco5.jpg,belly\Coco\Coco5.jpg,yolo(conf=0.76),0.756,179,585,630,1498,156,539,653,1544
penguins_data\Coco\Coco6.jpg,belly\Coco\Coco6.jpg,yolo(conf=0.69),0.689,258,545,812,1365,230,504,840,1406
penguins_data\Coco\Coco7.jpg,belly\Coco\Coco7.jpg,yolo(conf=0.79),0.786,254,563,611,1078,236,537,629,1104
penguins_data\Coco\Coco8.jpg,belly\Coco\Coco8.jpg,yolo(conf=0.71),0.711,220,623,671,1667,197,571,685,1719
penguins_data\Coco\Coco9.jpg,belly\Coco\Coco9.jpg,yolo(conf=0.88),0.883,370,538,873,1240,345,503,898,1275
penguins_data\Coco\DSC_2684.jpeg,belly\Coco\DSC_2684.jpeg,yolo(conf=0.78),0.777,1247,509,2636,2848,1178,392,2705,2848
penguins_data\Coco\DSC_2685.jpeg,belly\Coco\DSC_2685.jpeg,yolo(conf=0.79),0.793,1601,839,3161,2848,1523,739,3239,2848
penguins_data\Coco\DSC_2686.jpeg,belly\Coco\DSC_2686.jpeg,yolo(conf=0.46),0.462,2081,416,3244,2533,2023,310,3302,2639
penguins_data\Cooper\Cooper1.jpg,belly\Cooper\Cooper1.jpg,yolo(conf=0.74),0.745,285,485,615,907,269,464,631,928
penguins_data\Cooper\Cooper10.jpg,belly\Cooper\Cooper10.jpg,yolo(conf=0.68),0.679,265,304,567,638,250,287,567,655
penguins_data\Cooper\Cooper11.jpg,belly\Cooper\Cooper11.jpg,yolo(conf=0.62),0.618,108,323,443,850,91,297,460,876
penguins_data\Cooper\Cooper12.jpg,belly\Cooper\Cooper12.jpg,yolo(conf=0.69),0.686,149,297,481,806,132,272,498,831
penguins_data\Cooper\Cooper13.jpg,belly\Cooper\Cooper13.jpg,yolo(conf=0.70),0.704,231,514,776,1203,204,480,803,1237
penguins_data\Cooper\Cooper14.jpg,belly\Cooper\Cooper14.jpg,yolo(conf=0.57),0.572,133,434,523,905,113,410,543,929
penguins_data\Cooper\Cooper15.jpg,belly\Cooper\Cooper15.jpg,yolo(conf=0.42),0.420,109,429,574,1110,86,395,597,1144
penguins_data\Cooper\Cooper16.jpg,belly\Cooper\Cooper16.jpg,yolo(conf=0.53),0.534,228,466,674,1162,206,431,696,1197
penguins_data\Cooper\Cooper2.jpg,belly\Cooper\Cooper2.jpg,yolo(conf=0.79),0.786,197,415,554,798,179,396,572,817
penguins_data\Cooper\Cooper3.jpg,belly\Cooper\Cooper3.jpg,yolo(conf=0.84),0.837,221,463,617,913,201,441,637,935
penguins_data\Cooper\Cooper4.jpg,belly\Cooper\Cooper4.jpg,yolo(conf=0.79),0.791,150,301,529,754,131,278,548,777
penguins_data\Cooper\Cooper5.jpg,belly\Cooper\Cooper5.jpg,yolo(conf=0.70),0.704,33,175,224,444,23,162,234,457
penguins_data\Cooper\Cooper6.jpg,belly\Cooper\Cooper6.jpg,yolo(conf=0.78),0.784,279,149,526,419,267,135,538,433
penguins_data\Cooper\Cooper7.jpg,belly\Cooper\Cooper7.jpg,yolo(conf=0.84),0.838,92,232,266,512,83,218,275,526
penguins_data\Cooper\Cooper8.jpg,belly\Cooper\Cooper8.jpg,yolo(conf=0.57),0.566,478,494,771,1126,463,462,786,1158
penguins_data\Cooper\Cooper9.jpg,belly\Cooper\Cooper9.jpg,yolo(conf=0.51),0.509,405,251,952,1219,378,203,979,1267
penguins_data\Cooper\DSC_2407.jpeg,belly\Cooper\DSC_2407.jpeg,yolo(conf=0.65),0.646,859,856,1595,2466,822,776,1632,2546
penguins_data\Cooper\DSC_2408.jpeg,belly\Cooper\DSC_2408.jpeg,yolo(conf=0.83),0.833,546,876,1217,2281,512,806,1251,2351
penguins_data\Cooper\DSC_2409.jpeg,belly\Cooper\DSC_2409.jpeg,yolo(conf=0.76),0.765,112,414,458,1034,95,383,475,1065
penguins_data\Cooper\DSC_2421.jpeg,belly\Cooper\DSC_2421.jpeg,no_detection_fallback,0.000,,,,,164,647,1481,2071
penguins_data\Cooper\DSC_2422.jpeg,belly\Cooper\DSC_2422.jpeg,no_detection_fallback,0.000,,,,,134,514,1207,1645
penguins_data\Cooper\DSC_2423.jpeg,belly\Cooper\DSC_2423.jpeg,yolo(conf=0.72),0.723,470,789,1182,2127,434,722,1218,2194
penguins_data\Cooper\DSC_2424.jpeg,belly\Cooper\DSC_2424.jpeg,yolo(conf=0.79),0.789,233,337,567,966,216,306,584,997
penguins_data\Cooper\DSC_2425.jpeg,belly\Cooper\DSC_2425.jpeg,yolo(conf=0.82),0.817,97,403,450,1022,79,372,468,1053
penguins_data\Cooper\IMG_0104_box2.jpg,belly\Cooper\IMG_0104_box2.jpg,no_detection_fallback,0.000,,,,,83,249,754,799
penguins_data\Cooper\IMG_0133_box1.jpg,belly\Cooper\IMG_0133_box1.jpg,no_detection_fallback,0.000,,,,,56,179,506,574
penguins_data\Cooper\IMG_0322_box1.jpg,belly\Cooper\IMG_0322_box1.jpg,yolo(conf=0.63),0.629,85,356,1013,1905,39,279,1059,1982
penguins_data\Cooper\IMG_0384_box1.jpg,belly\Cooper\IMG_0384_box1.jpg,yolo(conf=0.55),0.555,90,179,397,642,75,156,412,665
