source_path,output_path,status,confidence,det_left,det_top,det_right,det_bottom,crop_left,crop_top,crop_right,crop_bottom
penguins_dataset_split_body\test\Bud\Bud6.jpg,penguins_dataset_split_belly\test\Bud\Bud6.jpg,yolo(conf=0.58),0.584,279,8,838,693,251,0,866,727
penguins_dataset_split_body\test\Bud\IMGP0653.JPG,penguins_dataset_split_belly\test\Bud\IMGP0653.JPG,no_detection_fallback,0.000,,,,,133,429,1199,1374
penguins_dataset_split_body\test\Calypso\Calypso2.jpg,penguins_dataset_split_belly\test\Calypso\Calypso2.jpg,yolo(conf=0.50),0.500,76,433,636,1099,48,400,664,1099
penguins_dataset_split_body\test\Calypso\IMG_0783_box4.jpg,penguins_dataset_split_belly\test\Calypso\IMG_0783_box4.jpg,yolo(conf=0.69),0.688,43,175,219,570,34,155,228,590
penguins_dataset_split_body\test\Calypso\IMG_0800_box1.jpg,penguins_dataset_split_belly\test\Calypso\IMG_0800_box1.jpg,yolo(conf=0.43),0.430,75,259,295,428,64,251,295,429
penguins_dataset_split_body\test\Calypso\IMG_2393_box4.jpg,penguins_dataset_split_belly\test\Calypso\IMG_2393_box4.jpg,yolo(conf=0.82),0.815,94,263,374,864,80,233,388,894
penguins_dataset_split_body\test\Chompy\DSC_2434.jpeg,penguins_dataset_split_belly\test\Chompy\DSC_2434.jpeg,no_detection_fallback,0.000,,,,,73,290,657,930
penguins_dataset_split_body\test\Chompy\DSC_2435.jpeg,penguins_dataset_split_belly\test\Chompy\DSC_2435.jpeg,no_detection_fallback,0.000,,,,,60,247,546,792
penguins_dataset_split_body\test\Chompy\IMGP0665.JPG,penguins_dataset_split_belly\test\Chompy\IMGP0665.JPG,yolo(conf=0.86),0.861,183,361,721,1075,156,325,748,1111
penguins_dataset_split_body\test\Chompy\IMGP0705.JPG,penguins_dataset_split_belly\test\Chompy\IMGP0705.JPG,no_detection_fallback,0.000,,,,,36,158,327,508
penguins_dataset_split_body\test\Chompy\IMGP0708.JPG,penguins_dataset_split_belly\test\Chompy\IMGP0708.JPG,yolo(conf=0.45),0.448,80,246,510,662,58,225,532,683
penguins_dataset_split_body\test\Coco\Coco12.jpg,penguins_dataset_split_belly\test\Coco\Coco12.jpg,yolo(conf=0.77),0.775,238,260,598,573,220,244,616,589
penguins_dataset_split_body\test\Coco\Coco3.jpg,penguins_dataset_split_belly\test\Coco\Coco3.jpg,yolo(conf=0.84),0.840,415,427,824,1002,395,398,844,1031
penguins_dataset_split_body\test\Coco\Coco5.jpg,penguins_dataset_split_belly\test\Coco\Coco5.jpg,yolo(conf=0.66),0.662,183,14,615,886,161,0,637,930
penguins_dataset_split_body\test\Cooper\Cooper1.jpg,penguins_dataset_split_belly\test\Cooper\Cooper1.jpg,yolo(conf=0.75),0.746,285,486,615,907,269,465,631,928
penguins_dataset_split_body\test\Cooper\Cooper11.jpg,penguins_dataset_split_belly\test\Cooper\Cooper11.jpg,yolo(conf=0.62),0.618,108,323,443,850,91,297,460,876
penguins_dataset_split_body\test\Cooper\Cooper16.jpg,penguins_dataset_split_belly\test\Cooper\Cooper16.jpg,yolo(conf=0.55),0.550,148,470,646,1187,123,434,671,1210
penguins_dataset_split_body\test\Cooper\Cooper8.jpg,penguins_dataset_split_belly\test\Cooper\Cooper8.jpg,yolo(conf=0.57),0.567,479,494,771,1125,464,462,786,1157
penguins_dataset_split_body\test\Cooper\DSC_2422.jpeg,penguins_dataset_split_belly\test\Cooper\DSC_2422.jpeg,no_detection_fallback,0.000,,,,,134,514,1207,1645
penguins_dataset_split_body\test\Cooper\IMG_0409_box1.jpg,penguins_dataset_split_belly\test\Cooper\IMG_0409_box1.jpg,no_detection_fallback,0.000,,,,,81,136,734,435
penguins_dataset_split_body\test\Cooper\IMG_1387_box1.jpg,penguins_dataset_split_belly\test\Cooper\IMG_1387_box1.jpg,yolo(conf=0.48),0.477,140,86,386,419,128,69,398,436
penguins_dataset_split_body\test\Cooper\IMG_1431_box3.jpg,penguins_dataset_split_belly\test\Cooper\IMG_1431_box3.jpg,yolo(conf=0.75),0.751,50,169,316,501,37,152,329,518
penguins_dataset_split_body\test\Cooper\IMG_1469_box4.jpg,penguins_dataset_split_belly\test\Cooper\IMG_1469_box4.jpg,yolo(conf=0.62),0.618,8,135,216,407,0,121,226,421
penguins_dataset_split_body\test\Cooper\IMG_2110_box1.jpg,penguins_dataset_split_belly\test\Cooper\IMG_2110_box1.jpg,yolo(conf=0.76),0.765,86,154,441,740,68,125,441,769
penguins_dataset_split_body\test\Cooper\IMG_2225_box4.jpg,penguins_dataset_split_belly\test\Cooper\IMG_2225_box4.jpg,yolo(conf=0.57),0.567,90,51,384,539,75,27,399,563
penguins_dataset_split_body\test\Cooper\IMG_2283_box2.jpg,penguins_dataset_split_belly\test\Cooper\IMG_2283_box2.jpg,yolo(conf=0.68),0.683,59,330,616,1390,31,277,644,1443
penguins_dataset_split_body\test\Cooper\IMG_2719.jpeg,penguins_dataset_split_belly\test\Cooper\IMG_2719.jpeg,yolo(conf=0.74),0.737,295,562,911,1416,264,519,942,1459
penguins_dataset_split_body\test\Cooper\IMG_2906.jpeg,penguins_dataset_split_belly\test\Cooper\IMG_2906.jpeg,yolo(conf=0.58),0.580,412,1197,1698,3197,348,1097,1698,3297
penguins_dataset_split_body\test\Cooper\IMG_2908.jpeg,penguins_dataset_split_belly\test\Cooper\IMG_2908.jpeg,yolo(conf=0.79),0.795,427,1328,1706,2867,363,1251,1770,2944
penguins_dataset_split_body\test\Cooper\IMG_2966.jpeg,penguins_dataset_split_belly\test\Cooper\IMG_2966.jpeg,no_detection_fallback,0.000,,,,,253,733,2281,2346
penguins_dataset_split_body\test\Cooper\IMG_3245.jpeg,penguins_dataset_split_belly\test\Cooper\IMG_3245.jpeg,yolo(conf=0.57),0.568,418,492,984,1465,390,443,1012,1514
penguins_dataset_split_body\test\Cooper\IMG_3261.jpeg,penguins_dataset_split_belly\test\Cooper\IMG_3261.jpeg,yolo(conf=0.26),0.265,1306,949,2041,2396,1269,877,2078,2468
penguins_dataset_split_body\test\Cooper\IMGP0072.JPG,penguins_dataset_split_belly\test\Cooper\IMGP0072.JPG,yolo(conf=0.38),0.385,137,769,927,1587,97,728,967,1628
penguins_dataset_split_body\test\Cooper\IMGP0077.JPG,penguins_dataset_split_belly\test\Cooper\IMGP0077.JPG,no_detection_fallback,0.000,,,,,52,349,468,1119
penguins_dataset_split_body\test\Courtney\IMG_0787_box1.jpg,penguins_dataset_split_belly\test\Courtney\IMG_0787_box1.jpg,no_detection_fallback,0.000,,,,,30,138,270,442
penguins_dataset_split_body\test\Courtney\IMG_0821_box2.jpg,penguins_dataset_split_belly\test\Courtney\IMG_0821_box2.jpg,yolo(conf=0.56),0.565,100,176,334,556,88,157,334,575
penguins_dataset_split_body\test\Courtney\IMG_2945_box6.jpg,penguins_dataset_split_belly\test\Courtney\IMG_2945_box6.jpg,no_detection_fallback,0.000,,,,,44,207,404,664
penguins_dataset_split_body\test\Courtney\IMGP0407.JPG,penguins_dataset_split_belly\test\Courtney\IMGP0407.JPG,yolo(conf=0.76),0.763,94,651,753,1604,61,603,786,1652
penguins_dataset_split_body\test\Courtney\IMGP0409.JPG,penguins_dataset_split_belly\test\Courtney\IMGP0409.JPG,yolo(conf=0.56),0.563,99,33,703,1152,69,0,733,1208
penguins_dataset_split_body\test\Courtney\IMGP0412.JPG,penguins_dataset_split_belly\test\Courtney\IMGP0412.JPG,yolo(conf=0.62),0.620,187,456,563,1112,168,423,582,1145
penguins_dataset_split_body\test\Danny\Danny 3.jpg,penguins_dataset_split_belly\test\Danny\Danny 3.jpg,yolo(conf=0.62),0.621,272,438,688,1323,251,394,688,1367
penguins_dataset_split_body\test\Danny\IMG_0800_box5.jpg,penguins_dataset_split_belly\test\Danny\IMG_0800_box5.jpg,yolo(conf=0.37),0.369,10,171,179,544,2,152,187,563
penguins_dataset_split_body\test\Danny\IMG_0826_box1.jpg,penguins_dataset_split_belly\test\Danny\IMG_0826_box1.jpg,yolo(conf=0.66),0.657,267,420,672,1257,247,378,678,1279
penguins_dataset_split_body\test\Danny\IMG_0827_box4.jpg,penguins_dataset_split_belly\test\Danny\IMG_0827_box4.jpg,yolo(conf=0.63),0.634,80,483,547,1257,57,444,570,1266
penguins_dataset_split_body\test\Danny\IMG_0829_box1.jpg,penguins_dataset_split_belly\test\Danny\IMG_0829_box1.jpg,yolo(conf=0.69),0.692,300,485,804,1277,275,445,804,1286
penguins_dataset_split_body\test\Dragon\IMG_4315 copy.jpeg,penguins_dataset_split_belly\test\Dragon\IMG_4315 copy.jpeg,no_detection_fallback,0.000,,,,,40,63,360,202
penguins_dataset_split_body\test\Dragon\IMG_4334 copy.jpeg,penguins_dataset_split_belly\test\Dragon\IMG_4334 copy.jpeg,yolo(conf=0.76),0.764,266,336,768,1114,241,297,793,1153
penguins_dataset_split_body\test\Dragon\IMG_4386 copy.jpeg,penguins_dataset_split_belly\test\Dragon\IMG_4386 copy.jpeg,yolo(conf=0.67),0.666,25,35,500,640,1,5,524,670
penguins_dataset_split_body\test\Dragon\IMG_4389 copy.jpeg,penguins_dataset_split_belly\test\Dragon\IMG_4389 copy.jpeg,no_detection_fallback,0.000,,,,,63,276,570,883
penguins_dataset_split_body\test\Dragon\IMG_4401 copy.jpeg,penguins_dataset_split_belly\test\Dragon\IMG_4401 copy.jpeg,yolo(conf=0.74),0.735,102,173,392,650,88,149,406,674
penguins_dataset_split_body\test\Dragon\IMG_4406 copy.jpeg,penguins_dataset_split_belly\test\Dragon\IMG_4406 copy.jpeg,yolo(conf=0.66),0.656,52,89,295,433,40,72,307,450
penguins_dataset_split_body\test\Dragon\IMG_4412 copy.jpeg,penguins_dataset_split_belly\test\Dragon\IMG_4412 copy.jpeg,yolo(conf=0.58),0.575,58,34,315,449,45,13,328,470
penguins_dataset_split_body\test\Egg\Egg1.jpg,penguins_dataset_split_belly\test\Egg\Egg1.jpg,yolo(conf=0.86),0.856,88,473,562,1175,64,438,586,1210
penguins_dataset_split_body\test\Egg\Egg2.jpg,penguins_dataset_split_belly\test\Egg\Egg2.jpg,yolo(conf=0.77),0.769,87,602,658,1474,58,558,687,1518
penguins_dataset_split_body\test\Egg\IMG_2957.jpeg,penguins_dataset_split_belly\test\Egg\IMG_2957.jpeg,yolo(conf=0.65),0.647,180,593,1181,2513,130,497,1231,2609
penguins_dataset_split_body\test\Ellis\DSC_2705.jpeg,penguins_dataset_split_belly\test\Ellis\DSC_2705.jpeg,no_detection_fallback,0.000,,,,,119,485,1072,1553
penguins_dataset_split_body\test\Ellis\Ellis11.jpg,penguins_dataset_split_belly\test\Ellis\Ellis11.jpg,yolo(conf=0.77),0.771,156,467,624,1088,133,436,647,1119
penguins_dataset_split_body\test\Ellis\Ellis12.jpg,penguins_dataset_split_belly\test\Ellis\Ellis12.jpg,yolo(conf=0.55),0.549,323,0,904,663,294,0,933,696
penguins_dataset_split_body\test\Ellis\Ellis16.jpg,penguins_dataset_split_belly\test\Ellis\Ellis16.jpg,yolo(conf=0.63),0.630,247,590,873,1241,216,557,904,1274
penguins_dataset_split_body\test\Ernest\DSC_2526.jpeg,penguins_dataset_split_belly\test\Ernest\DSC_2526.jpeg,yolo(conf=0.79),0.792,138,320,530,1103,118,281,550,1142
penguins_dataset_split_body\test\Ernest\IMG_0999_box4.jpg,penguins_dataset_split_belly\test\Ernest\IMG_0999_box4.jpg,yolo(conf=0.50),0.500,45,111,223,457,36,94,232,474
penguins_dataset_split_body\test\Ernest\IMG_1037_box4.jpg,penguins_dataset_split_belly\test\Ernest\IMG_1037_box4.jpg,yolo(conf=0.29),0.292,68,154,279,659,57,129,279,684
penguins_dataset_split_body\test\Gonzo\IMG_0342_box2.jpg,penguins_dataset_split_belly\test\Gonzo\IMG_0342_box2.jpg,yolo(conf=0.70),0.699,179,246,729,1155,151,201,757,1200
penguins_dataset_split_body\test\Gonzo\IMG_0479_box1.jpg,penguins_dataset_split_belly\test\Gonzo\IMG_0479_box1.jpg,yolo(conf=0.49),0.492,0,58,174,496,0,36,183,518
penguins_dataset_split_body\test\Gonzo\IMG_0514_box2.jpg,penguins_dataset_split_belly\test\Gonzo\IMG_0514_box2.jpg,yolo(conf=0.44),0.437,98,0,405,331,83,0,420,348
penguins_dataset_split_body\test\Gonzo\IMG_0900_box2.jpg,penguins_dataset_split_belly\test\Gonzo\IMG_0900_box2.jpg,yolo(conf=0.58),0.578,68,122,303,550,56,101,315,571
penguins_dataset_split_body\test\Gonzo\IMG_0909_box4.jpg,penguins_dataset_split_belly\test\Gonzo\IMG_0909_box4.jpg,yolo(conf=0.58),0.582,39,116,270,545,27,95,270,566
penguins_dataset_split_body\test\Gonzo\IMG_1570_box3.jpg,penguins_dataset_split_belly\test\Gonzo\IMG_1570_box3.jpg,yolo(conf=0.42),0.422,69,155,261,514,59,137,271,532
penguins_dataset_split_body\test\Gonzo\IMG_1753_box1.jpg,penguins_dataset_split_belly\test\Gonzo\IMG_1753_box1.jpg,yolo(conf=0.56),0.561,65,127,241,488,56,109,250,506
penguins_dataset_split_body\test\Gonzo\thumbnail_image002.jpg,penguins_dataset_split_belly\test\Gonzo\thumbnail_image002.jpg,yolo(conf=0.64),0.645,471,0,1372,1173,426,0,1417,1232
penguins_dataset_split_body\test\Greyjoy\DSC_2548.jpeg,penguins_dataset_split_belly\test\Greyjoy\DSC_2548.jpeg,yolo(conf=0.53),0.527,413,462,969,1581,385,406,997,1629
penguins_dataset_split_body\test\Greyjoy\DSC_2550.jpeg,penguins_dataset_split_belly\test\Greyjoy\DSC_2550.jpeg,yolo(conf=0.58),0.578,211,181,792,998,182,140,821,1039
penguins_dataset_split_body\test\Greyjoy\Greyjoy8.jpg,penguins_dataset_split_belly\test\Greyjoy\Greyjoy8.jpg,yolo(conf=0.37),0.370,300,477,596,912,285,455,611,934
penguins_dataset_split_body\test\Hanbury\Hanbury19.jpg,penguins_dataset_split_belly\test\Hanbury\Hanbury19.jpg,yolo(conf=0.66),0.661,196,278,476,731,182,255,490,754
penguins_dataset_split_body\test\Hanbury\Hanbury5.jpg,penguins_dataset_split_belly\test\Hanbury\Hanbury5.jpg,yolo(conf=0.77),0.773,181,410,765,1349,152,363,794,1385
penguins_dataset_split_body\test\Hanbury\Hanbury9.jpg,penguins_dataset_split_belly\test\Hanbury\Hanbury9.jpg,yolo(conf=0.90),0.898,196,539,740,1258,169,503,767,1294
penguins_dataset_split_body\test\Heathcliffe\DSC_2584.jpeg,penguins_dataset_split_belly\test\Heathcliffe\DSC_2584.jpeg,yolo(conf=0.80),0.805,88,292,541,819,65,266,564,845
penguins_dataset_split_body\test\Heathcliffe\DSC_2585.jpeg,penguins_dataset_split_belly\test\Heathcliffe\DSC_2585.jpeg,yolo(conf=0.59),0.590,242,411,648,859,222,389,668,866
penguins_dataset_split_body\test\Heathcliffe\Heathcliff4.jpg,penguins_dataset_split_belly\test\Heathcliffe\Heathcliff4.jpg,yolo(conf=0.62),0.617,139,574,733,962,109,555,763,962
penguins_dataset_split_body\test\Heathcliffe\Heathcliff7.jpg,penguins_dataset_split_belly\test\Heathcliffe\Heathcliff7.jpg,yolo(conf=0.33),0.327,180,293,436,735,167,271,449,757
penguins_dataset_split_body\test\Heathcliffe\Heathcliff9.jpg,penguins_dataset_split_belly\test\Heathcliffe\Heathcliff9.jpg,no_detection_fallback,0.000,,,,,40,188,360,604
penguins_dataset_split_body\test\Heathcliffe\IMG_0105_box1.jpg,penguins_dataset_split_belly\test\Heathcliffe\IMG_0105_box1.jpg,yolo(conf=0.52),0.521,342,319,748,1133,322,278,768,1174
penguins_dataset_split_body\test\Heathcliffe\IMGP0401.JPG,penguins_dataset_split_belly\test\Heathcliffe\IMGP0401.JPG,yolo(conf=0.56),0.557,160,203,1223,1557,107,135,1276,1625
penguins_dataset_split_body\test\Heathcliffe\Penguins_All - 246 of 322_box4.jpeg,penguins_dataset_split_belly\test\Heathcliffe\Penguins_All - 246 of 322_box4.jpeg,yolo(conf=0.61),0.607,4,247,314,844,0,217,330,874
penguins_dataset_split_body\test\Heathcliffe\Penguins_All - 266 of 322_box1.jpeg,penguins_dataset_split_belly\test\Heathcliffe\Penguins_All - 266 of 322_box1.jpeg,yolo(conf=0.79),0.786,85,375,500,976,64,345,502,1006
penguins_dataset_split_body\test\Heathcliffe\Penguins_All - 285 of 322_box4.jpeg,penguins_dataset_split_belly\test\Heathcliffe\Penguins_All - 285 of 322_box4.jpeg,yolo(conf=0.81),0.806,45,127,220,307,36,118,229,316
penguins_dataset_split_body\test\Jaz\DSC_2629.jpeg,penguins_dataset_split_belly\test\Jaz\DSC_2629.jpeg,yolo(conf=0.30),0.299,883,763,1587,2553,848,673,1587,2643
penguins_dataset_split_body\test\Jaz\IMGP0147.JPG,penguins_dataset_split_belly\test\Jaz\IMGP0147.JPG,yolo(conf=0.74),0.743,75,348,477,1009,55,315,497,1042
penguins_dataset_split_body\test\Jaz\IMGP0148.JPG,penguins_dataset_split_belly\test\Jaz\IMGP0148.JPG,yolo(conf=0.73),0.729,84,217,455,900,65,183,474,934
penguins_dataset_split_body\test\Jaz\IMGP0149.JPG,penguins_dataset_split_belly\test\Jaz\IMGP0149.JPG,yolo(conf=0.80),0.797,83,319,470,1017,64,284,489,1052
penguins_dataset_split_body\test\Kermit\DSC_2775.jpeg,penguins_dataset_split_belly\test\Kermit\DSC_2775.jpeg,no_detection_fallback,0.000,,,,,90,391,816,1251
penguins_dataset_split_body\test\Kermit\DSC_2777.jpeg,penguins_dataset_split_belly\test\Kermit\DSC_2777.jpeg,yolo(conf=0.57),0.574,133,143,511,798,114,110,530,811
penguins_dataset_split_body\test\Kermit\IMG_0834_box1.jpg,penguins_dataset_split_belly\test\Kermit\IMG_0834_box1.jpg,yolo(conf=0.63),0.632,84,407,357,903,70,382,371,928
penguins_dataset_split_body\test\Kermit\IMG_0985_box5.jpg,penguins_dataset_split_belly\test\Kermit\IMG_0985_box5.jpg,yolo(conf=0.74),0.745,53,207,381,808,37,177,397,838
penguins_dataset_split_body\test\Kermit\IMG_2046_box2.jpg,penguins_dataset_split_belly\test\Kermit\IMG_2046_box2.jpg,yolo(conf=0.68),0.676,127,154,440,729,111,125,456,758
penguins_dataset_split_body\test\Kermit\IMGP0793.JPG,penguins_dataset_split_belly\test\Kermit\IMGP0793.JPG,yolo(conf=0.65),0.653,417,482,955,1556,390,428,982,1610
penguins_dataset_split_body\test\Kermit\IMGP0809.JPG,penguins_dataset_split_belly\test\Kermit\IMGP0809.JPG,yolo(conf=0.58),0.584,425,602,1043,1924,394,536,1074,1990
penguins_dataset_split_body\test\Kermit\IMGP0813.JPG,penguins_dataset_split_belly\test\Kermit\IMGP0813.JPG,yolo(conf=0.49),0.487,477,439,1195,1801,441,371,1231,1869
penguins_dataset_split_body\test\Kermit\Kermit11.jpg,penguins_dataset_split_belly\test\Kermit\Kermit11.jpg,yolo(conf=0.92),0.917,184,282,854,1133,150,239,888,1176
penguins_dataset_split_body\test\Kermit\Kermit2.jpg,penguins_dataset_split_belly\test\Kermit\Kermit2.jpg,yolo(conf=0.64),0.643,127,127,251,399,121,113,254,413
penguins_dataset_split_body\test\Kermit\Kermit5.jpg,penguins_dataset_split_belly\test\Kermit\Kermit5.jpg,yolo(conf=0.70),0.698,250,381,503,935,237,353,516,963
penguins_dataset_split_body\test\Lannister\DSC_2402.jpeg,penguins_dataset_split_belly\test\Lannister\DSC_2402.jpeg,no_detection_fallback,0.000,,,,,153,671,1377,2147
penguins_dataset_split_body\test\Lannister\DSC_2474.jpeg,penguins_dataset_split_belly\test\Lannister\DSC_2474.jpeg,no_detection_fallback,0.000,,,,,160,124,1446,399
penguins_dataset_split_body\test\Lannister\DSC_2476.jpeg,penguins_dataset_split_belly\test\Lannister\DSC_2476.jpeg,yolo(conf=0.37),0.373,717,1072,1616,2834,672,984,1661,2845
penguins_dataset_split_body\test\Lannister\Lannister 3.jpg,penguins_dataset_split_belly\test\Lannister\Lannister 3.jpg,yolo(conf=0.87),0.869,128,273,432,681,113,253,447,701
penguins_dataset_split_body\test\Laura\IMGP0444.JPG,penguins_dataset_split_belly\test\Laura\IMGP0444.JPG,yolo(conf=0.65),0.653,293,582,1042,1834,256,519,1042,1897
penguins_dataset_split_body\test\Laura\IMGP0448.JPG,penguins_dataset_split_belly\test\Laura\IMGP0448.JPG,yolo(conf=0.70),0.701,156,282,684,1080,130,242,710,1120
penguins_dataset_split_body\test\Laura\IMGP0454.JPG,penguins_dataset_split_belly\test\Laura\IMGP0454.JPG,yolo(conf=0.81),0.810,196,472,908,1674,160,412,908,1734
penguins_dataset_split_body\test\Lenny\IMG_0932_box1.jpg,penguins_dataset_split_belly\test\Lenny\IMG_0932_box1.jpg,yolo(conf=0.49),0.486,93,25,476,807,74,0,495,846
penguins_dataset_split_body\test\Lenny\IMG_0955_box1.jpg,penguins_dataset_split_belly\test\Lenny\IMG_0955_box1.jpg,yolo(conf=0.46),0.464,488,348,805,818,472,324,805,842
penguins_dataset_split_body\test\Lenny\IMG_3127_box1.jpg,penguins_dataset_split_belly\test\Lenny\IMG_3127_box1.jpg,no_detection_fallback,0.000,,,,,51,224,466,719
penguins_dataset_split_body\test\Lenny\IMG_3406_box4.jpg,penguins_dataset_split_belly\test\Lenny\IMG_3406_box4.jpg,yolo(conf=0.55),0.549,64,274,489,816,43,247,489,843
penguins_dataset_split_body\test\Lenny\Lenny 8.jpg,penguins_dataset_split_belly\test\Lenny\Lenny 8.jpg,no_detection_fallback,0.000,,,,,112,315,1008,1008
penguins_dataset_split_body\test\Lucy\IMG_4339 copy.jpeg,penguins_dataset_split_belly\test\Lucy\IMG_4339 copy.jpeg,no_detection_fallback,0.000,,,,,45,163,408,521
penguins_dataset_split_body\test\Lucy\IMG_4381 copy.jpeg,penguins_dataset_split_belly\test\Lucy\IMG_4381 copy.jpeg,no_detection_fallback,0.000,,,,,65,278,588,891
penguins_dataset_split_body\test\Lucy\IMG_4383 copy.jpeg,penguins_dataset_split_belly\test\Lucy\IMG_4383 copy.jpeg,yolo(conf=0.55),0.555,140,184,466,697,124,158,466,723
penguins_dataset_split_body\test\McVitie\DSC_2450.jpeg,penguins_dataset_split_belly\test\McVitie\DSC_2450.jpeg,yolo(conf=0.60),0.604,492,527,1084,2064,462,450,1084,2141
penguins_dataset_split_body\test\McVitie\DSC_2456.jpeg,penguins_dataset_split_belly\test\McVitie\DSC_2456.jpeg,yolo(conf=0.54),0.541,162,344,536,1420,143,290,536,1474
penguins_dataset_split_body\test\McVitie\DSC_2513.jpeg,penguins_dataset_split_belly\test\McVitie\DSC_2513.jpeg,no_detection_fallback,0.000,,,,,148,417,1332,1336
penguins_dataset_split_body\test\McVitie\IMG_0831_box5.jpg,penguins_dataset_split_belly\test\McVitie\IMG_0831_box5.jpg,yolo(conf=0.51),0.505,117,164,357,602,105,142,369,624
penguins_dataset_split_body\test\McVitie\IMG_1570_box5.jpg,penguins_dataset_split_belly\test\McVitie\IMG_1570_box5.jpg,no_detection_fallback,0.000,,,,,24,100,219,320
penguins_dataset_split_body\test\McVitie\IMG_1751_box1.jpg,penguins_dataset_split_belly\test\McVitie\IMG_1751_box1.jpg,no_detection_fallback,0.000,,,,,17,137,160,438
penguins_dataset_split_body\test\McVitie\IMG_1754_box3.jpg,penguins_dataset_split_belly\test\McVitie\IMG_1754_box3.jpg,yolo(conf=0.53),0.528,0,146,168,595,0,124,176,617
penguins_dataset_split_body\test\McVitie\IMG_1757_box3.jpg,penguins_dataset_split_belly\test\McVitie\IMG_1757_box3.jpg,yolo(conf=0.39),0.389,9,232,264,786,0,204,277,795
penguins_dataset_split_body\test\McVitie\McVitie2.jpg,penguins_dataset_split_belly\test\McVitie\McVitie2.jpg,yolo(conf=0.85),0.854,160,467,559,1176,140,432,579,1211
penguins_dataset_split_body\test\Medici\DSC_2746.jpeg,penguins_dataset_split_belly\test\Medici\DSC_2746.jpeg,yolo(conf=0.77),0.770,102,267,539,876,80,237,561,906
penguins_dataset_split_body\test\Medici\DSC_2747.jpeg,penguins_dataset_split_belly\test\Medici\DSC_2747.jpeg,yolo(conf=0.73),0.735,151,269,661,1134,125,226,687,1177
penguins_dataset_split_body\test\Medici\IMG_0559_box1.jpg,penguins_dataset_split_belly\test\Medici\IMG_0559_box1.jpg,no_detection_fallback,0.000,,,,,23,44,212,140
penguins_dataset_split_body\test\Medici\IMG_0649_box1.jpg,penguins_dataset_split_belly\test\Medici\IMG_0649_box1.jpg,yolo(conf=0.56),0.559,62,162,238,636,53,138,247,660
penguins_dataset_split_body\test\Medici\IMG_0829_box5.jpg,penguins_dataset_split_belly\test\Medici\IMG_0829_box5.jpg,yolo(conf=0.55),0.546,0,129,214,572,0,107,225,594
penguins_dataset_split_body\test\Medici\IMG_0846_box2.jpg,penguins_dataset_split_belly\test\Medici\IMG_0846_box2.jpg,yolo(conf=0.42),0.424,886,211,1092,945,876,174,1093,982
penguins_dataset_split_body\test\Medici\IMG_1000_box4.jpg,penguins_dataset_split_belly\test\Medici\IMG_1000_box4.jpg,yolo(conf=0.53),0.531,192,328,1254,2031,139,243,1307,2069
penguins_dataset_split_body\test\Medici\IMG_1143_box1.jpg,penguins_dataset_split_belly\test\Medici\IMG_1143_box1.jpg,yolo(conf=0.50),0.498,147,0,651,852,122,0,676,895
